"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US12010","ZCTA5 12010","28152","636"
"8600000US12015","ZCTA5 12015","3026","404"
"8600000US12017","ZCTA5 12017","403","99"
"8600000US12018","ZCTA5 12018","7226","575"
"8600000US12019","ZCTA5 12019","14456","700"
"8600000US12020","ZCTA5 12020","33563","757"
"8600000US12022","ZCTA5 12022","612","155"
"8600000US12023","ZCTA5 12023","2187","256"
"8600000US12024","ZCTA5 12024","0","12"
"8600000US12025","ZCTA5 12025","5388","363"
"8600000US12027","ZCTA5 12027","3887","352"
"8600000US12028","ZCTA5 12028","849","243"
"8600000US12029","ZCTA5 12029","1156","149"
"8600000US12031","ZCTA5 12031","195","71"
"8600000US12032","ZCTA5 12032","858","174"
"8600000US12033","ZCTA5 12033","7906","543"
"8600000US12035","ZCTA5 12035","722","277"
"8600000US12036","ZCTA5 12036","295","155"
"8600000US12037","ZCTA5 12037","4257","433"
"8600000US12040","ZCTA5 12040","137","79"
"8600000US12041","ZCTA5 12041","571","315"
"8600000US12042","ZCTA5 12042","225","93"
"8600000US12043","ZCTA5 12043","8129","259"
"8600000US12045","ZCTA5 12045","506","217"
"8600000US12046","ZCTA5 12046","1102","280"
"8600000US12047","ZCTA5 12047","21355","592"
"8600000US12051","ZCTA5 12051","6383","418"
"8600000US12052","ZCTA5 12052","1611","223"
"8600000US12053","ZCTA5 12053","4527","632"
"8600000US12054","ZCTA5 12054","16940","752"
"8600000US12056","ZCTA5 12056","2847","553"
"8600000US12057","ZCTA5 12057","1942","322"
"8600000US12058","ZCTA5 12058","1394","402"
"8600000US12059","ZCTA5 12059","1682","247"
"8600000US12060","ZCTA5 12060","1414","191"
"8600000US12061","ZCTA5 12061","9656","739"
